item,unit_cost,unit
Screened Topsoil,80,yd
Mulch (Hardwood),70,yd
River Rock #57,95,ton
#57 Limestone,65,ton
Pea Gravel,58,ton
Play Sand,45,ton
Compost,55,yd
Pine Straw Bales,6,each
Edging (black plastic),1.2,ft
Edging (steel),4.5,ft
Landscape Fabric (3oz),0.25,sf
Plants - Boxwood 3gal,28,each
Plants - Loropetalum 3gal,32,each
Perennials - Daylily 1gal,9,each
Seed - Tall Fescue Blend,3.2,lb
Straw Blankets 8ft x 112.5ft,85,roll
Pavers (basic),2.2,ea
Polymeric Sand,24,bag
#57 River Rock Delivery,95,trip
Topsoil Delivery,85,trip
